ID,Conector,Pin,Low_Limit_X,High_Limit_X,Low_Limit_Y,High_Limit_Y
0,X1,1,0,0,0,0
1,X1,2,0,0,0,0
2,X1,3,250,290,20,86
3,X1,4,0,0,0,0
4,X1,5,0,0,0,0
5,X1,6,225,310,140,210
6,X2,1,83,135,710,76
7,X2,2,70,140,590,640
8,X2,3,80,135,460,525
9,X2,4,0,0,0,0
10,X2,5,85,135,230,270
11,X2,6,77,140,100,155
12,X2,7,68,138,0,12
13,X2,8,85,145,88,136
14,X2,9,0,0,0,0
15,X2,10,1,12,715,760
16,X2,11,1,13,590,645
17,X2,12,1,15,475,525
18,X2,13,1,28,350,410
19,X2,14,1,13,231,275
20,X2,15,1,12,112,162
21,X2,16,0.3,12,4,25
22,X2,17,0.2,17,92,135
23,X2,18,0,0,0,0
24,X2,19,52,71,445,465
25,X2,20,55,55,701,750
26,X3,1,89,215,245,545
27,X3,2,89,215,170,389
28,X3,3,110,190,142,178
29,X3,4,85,225,15,56
30,X3,5,120,185,68,98
31,X3,6,85,220,110,275
32,X3,7,110,195,305,337
33,X3,8,105,205,420,465
34,X3,9,11,72,250,545
35,X3,10,11,65,170,389
36,X3,11,0.3,79,140,185
37,X3,12,0,0,0,0
38,X3,13,8,65,35,115
39,X3,14,10,68,112,275
40,X3,15,23,70,308,340
41,X3,16,10,65,275,580
42,X4,1,945,988,3,25
43,X4,2,830,870,3,26
44,X4,3,710,747,3,23
45,X4,4,585,627,3,27
46,X4,5,460,505,3,25
47,X4,6,0,0,0,0
48,X4,7,0,0,0,0
49,X4,8,90,145,0.3,41
50,X4,9,0,0,0,0
51,X4,10,110,165,4,38
52,X4,11,200,295,0.06,110
53,X4,12,355,397,12,31
54,X4,13,478,518,12,32
55,X4,14,0,0,0,0
56,X4,15,0,0,0,0
57,X4,16,845,886,14,35
58,X4,17,0,0,0,0
59,X4,18,0,0,0,0
60,X4,19,0,0,0,0
61,X4,20,585,628,87,119
62,X4,21,0,0,0,0
63,X4,22,0,0,0,0
64,X4,23,185,300,90,129
65,X4,24,102,148,90,125
66,X4,25,2,35,90,132
67,X4,26,0,0,0,0
68,X4,27,235,275,90,132
69,X4,28,352,396,90,120
70,X4,29,472,521,82,120
71,X4,30,590,655,80,115
72,X4,31,720,760,85,115
73,X4,32,842,885,80,115
