,,,,,,5,,,,,,,,
ID,Conector,Pin,Low_Limit_X,High_Limit_X,Low_Limit_Y,High_Limit_Y,,ID,Conector,Pin,Low_Limit_X,High_Limit_X,Low_Limit_Y,High_Limit_Y
0,X1,1,0,0,0,0,,0,X1,1,0,0,0,0
1,X1,2,0,0,0,0,,1,X1,2,0,0,0,0
2,X1,3,264.6002873,280.660443,62.45296321,83.66861819,,2,X1,3,259.6002873,285.660443,57.45296321,88.66861819
3,X1,4,0,0,0,0,,3,X1,4,0,0,0,0
4,X1,5,0,0,0,0,,4,X1,5,0,0,0,0
5,X1,6,264.4020797,281.0435994,179.931845,199.795,,5,X1,6,259.4020797,286.0435994,174.931845,204.795
6,X2,1,96.04280816,124.3337779,723.6650566,741.3570039,,6,X2,1,91.04280816,129.3337779,718.6650566,746.3570039
7,X2,2,100.563693,124.9222977,603.0702761,619.9866728,,7,X2,2,95.563693,129.9222977,598.0702761,624.9866728
8,X2,3,100.5584614,124.3501007,477.0131983,506.4725814,,8,X2,3,95.5584614,129.3501007,472.0131983,511.4725814
9,X2,4,0,0,0,0,,9,X2,4,0,0,0,0
10,X2,5,100.1977715,127.1016471,238.8849951,256.1862561,,10,X2,5,95.1977715,132.1016471,233.8849951,261.1862561
11,X2,6,102.1121254,126.1137676,121.9645599,134.765,,11,X2,6,97.1121254,131.1137676,116.9645599,139.765
12,X2,7,102.4525516,128.008653,-1.886300008,14.368,,12,X2,7,97.4525516,133.008653,-6.886300008,19.368
13,X2,8,102.757939,127.606643,101.9210757,125.4177096,,13,X2,8,97.757939,132.606643,96.9210757,130.4177096
14,X2,9,0,0,0,0,,14,X2,9,0,0,0,0
15,X2,10,-0.943296714,20.256,724.3502673,740.6446722,,15,X2,10,-5.943296714,25.256,719.3502673,745.6446722
16,X2,11,-2.214953058,20.096,603.4057834,619.249,,16,X2,11,-7.214953058,25.096,598.4057834,624.249
17,X2,12,-1.877643601,17.77,481.9373048,496.9168766,,17,X2,12,-6.877643601,22.77,476.9373048,501.9168766
18,X2,13,-2.683659776,19.431,360.1747462,376.545,,18,X2,13,-7.683659776,24.431,355.1747462,381.545
19,X2,14,-2.033852078,19.895,239.7945891,254.813,,19,X2,14,-7.033852078,24.895,234.7945891,259.813
20,X2,15,-3.205197532,17.253,118.1814373,133.7395487,,20,X2,15,-8.205197532,22.253,113.1814373,138.7395487
21,X2,16,-3.124016671,17.419,-1.760960087,12.26221125,,21,X2,16,-8.124016671,22.419,-6.760960087,17.26221125
22,X2,17,-3.250142821,13.34388858,103.0820661,126.1970949,,22,X2,17,-8.250142821,18.34388858,98.0820661,131.1970949
23,X2,18,0,0,0,0,,23,X2,18,0,0,0,0
24,X2,19,54.61094697,70.72906233,447.027202,463.455998,,24,X2,19,49.61094697,75.72906233,442.027202,468.455998
25,X2,20,56.49141034,74.11583152,707.1766911,726.1192159,,25,X2,20,51.49141034,79.11583152,702.1766911,731.1192159
26,X3,1,102.2760448,204.1094693,271.9895017,529.7683175,,26,X3,1,97.2760448,209.1094693,266.9895017,534.7683175
27,X3,2,102.5341248,204.2799939,193.9682049,368.9626538,,27,X3,2,97.5341248,209.2799939,188.9682049,373.9626538
28,X3,3,145.1273288,168.8124294,147.4618076,171.8051784,,28,X3,3,140.1273288,173.8124294,142.4618076,176.8051784
29,X3,4,101.503968,206.554402,23.79924242,60.58414459,,29,X3,4,96.503968,211.554402,18.79924242,65.58414459
